,Nombre_municipio,Month,District,ServiceType,day,weekday,Date,NumberOT
229,APARTADÓ,4,Apartado TyD,Mantenimiento Energía,19,4,2019-04-19,1
232,APARTADÓ,4,Apartado TyD,Mantenimiento Energía,26,4,2019-04-26,3
233,APARTADÓ,4,Apartado TyD,Mantenimiento Energía,28,6,2019-04-28,1
235,APARTADÓ,4,Apartado TyD,Mantenimiento Energía,30,1,2019-04-30,5
237,APARTADÓ,4,Turbo TyD,Daños Energía,22,0,2019-04-22,1
238,APARTADÓ,4,Turbo TyD,Daños Energía,28,6,2019-04-28,1
239,APARTADÓ,4,Turbo TyD,Daños Energía,30,1,2019-04-30,1
240,APARTADÓ,4,Turbo TyD,Mantenimiento Energía,4,3,2019-04-04,2
241,APARTADÓ,4,Turbo TyD,Mantenimiento Energía,22,0,2019-04-22,1
243,APARTADÓ,5,Apartado TyD,Daños Energía,1,2,2019-05-01,7
244,APARTADÓ,5,Apartado TyD,Daños Energía,2,3,2019-05-02,19
245,APARTADÓ,5,Apartado TyD,Daños Energía,3,4,2019-05-03,10
246,APARTADÓ,5,Apartado TyD,Daños Energía,4,5,2019-05-04,6
247,APARTADÓ,5,Apartado TyD,Daños Energía,5,6,2019-05-05,4
249,APARTADÓ,5,Apartado TyD,Daños Energía,7,1,2019-05-07,8
250,APARTADÓ,5,Apartado TyD,Daños Energía,8,2,2019-05-08,6
251,APARTADÓ,5,Apartado TyD,Daños Energía,9,3,2019-05-09,7
252,APARTADÓ,5,Apartado TyD,Daños Energía,10,4,2019-05-10,3
253,APARTADÓ,5,Apartado TyD,Daños Energía,11,5,2019-05-11,6
254,APARTADÓ,5,Apartado TyD,Daños Energía,12,6,2019-05-12,8
255,APARTADÓ,5,Apartado TyD,Daños Energía,13,0,2019-05-13,9
256,APARTADÓ,5,Apartado TyD,Daños Energía,14,1,2019-05-14,5
257,APARTADÓ,5,Apartado TyD,Daños Energía,15,2,2019-05-15,18
258,APARTADÓ,5,Apartado TyD,Daños Energía,16,3,2019-05-16,22
260,APARTADÓ,5,Apartado TyD,Daños Energía,18,5,2019-05-18,11
261,APARTADÓ,5,Apartado TyD,Daños Energía,19,6,2019-05-19,9
264,APARTADÓ,5,Apartado TyD,Daños Energía,22,2,2019-05-22,12
266,APARTADÓ,5,Apartado TyD,Daños Energía,24,4,2019-05-24,13
267,APARTADÓ,5,Apartado TyD,Daños Energía,25,5,2019-05-25,5
269,APARTADÓ,5,Apartado TyD,Daños Energía,27,0,2019-05-27,18
270,APARTADÓ,5,Apartado TyD,Daños Energía,28,1,2019-05-28,10
271,APARTADÓ,5,Apartado TyD,Daños Energía,29,2,2019-05-29,6
273,APARTADÓ,5,Apartado TyD,Daños Energía,31,4,2019-05-31,13
274,APARTADÓ,5,Apartado TyD,Mantenimiento Energía,2,3,2019-05-02,1
275,APARTADÓ,5,Apartado TyD,Mantenimiento Energía,3,4,2019-05-03,1
276,APARTADÓ,5,Apartado TyD,Mantenimiento Energía,5,6,2019-05-05,9
277,APARTADÓ,5,Apartado TyD,Mantenimiento Energía,6,0,2019-05-06,12
278,APARTADÓ,5,Apartado TyD,Mantenimiento Energía,8,2,2019-05-08,2
279,APARTADÓ,5,Apartado TyD,Mantenimiento Energía,9,3,2019-05-09,9
280,APARTADÓ,5,Apartado TyD,Mantenimiento Energía,10,4,2019-05-10,3
281,APARTADÓ,5,Apartado TyD,Mantenimiento Energía,11,5,2019-05-11,1
282,APARTADÓ,5,Apartado TyD,Mantenimiento Energía,13,0,2019-05-13,11
283,APARTADÓ,5,Apartado TyD,Mantenimiento Energía,15,2,2019-05-15,12
285,APARTADÓ,5,Apartado TyD,Mantenimiento Energía,18,5,2019-05-18,2
286,APARTADÓ,5,Apartado TyD,Mantenimiento Energía,19,6,2019-05-19,7
287,APARTADÓ,5,Apartado TyD,Mantenimiento Energía,20,0,2019-05-20,3
288,APARTADÓ,5,Apartado TyD,Mantenimiento Energía,21,1,2019-05-21,2
289,APARTADÓ,5,Apartado TyD,Mantenimiento Energía,22,2,2019-05-22,3
293,APARTADÓ,5,Apartado TyD,Mantenimiento Energía,26,6,2019-05-26,8
294,APARTADÓ,5,Apartado TyD,Mantenimiento Energía,27,0,2019-05-27,6
295,APARTADÓ,5,Apartado TyD,Mantenimiento Energía,29,2,2019-05-29,1
296,APARTADÓ,5,Apartado TyD,Mantenimiento Energía,31,4,2019-05-31,5
299,APARTADÓ,5,Turbo TyD,Daños Energía,16,3,2019-05-16,1
300,APARTADÓ,5,Turbo TyD,Daños Energía,22,2,2019-05-22,1
301,APARTADÓ,5,Turbo TyD,Daños Energía,28,1,2019-05-28,1
302,APARTADÓ,5,Turbo TyD,Daños Energía,30,3,2019-05-30,1
303,APARTADÓ,5,Turbo TyD,Daños Energía,31,4,2019-05-31,1
304,APARTADÓ,5,Turbo TyD,Mantenimiento Energía,2,3,2019-05-02,1
305,APARTADÓ,5,Turbo TyD,Mantenimiento Energía,31,4,2019-05-31,2
306,APARTADÓ,6,Apartado TyD,Daños Energía,1,5,2019-06-01,11
307,APARTADÓ,6,Apartado TyD,Daños Energía,2,6,2019-06-02,7
308,APARTADÓ,6,Apartado TyD,Daños Energía,3,0,2019-06-03,6
310,APARTADÓ,6,Apartado TyD,Daños Energía,5,2,2019-06-05,8
311,APARTADÓ,6,Apartado TyD,Daños Energía,6,3,2019-06-06,7
313,APARTADÓ,6,Apartado TyD,Daños Energía,8,5,2019-06-08,4
314,APARTADÓ,6,Apartado TyD,Daños Energía,9,6,2019-06-09,5
315,APARTADÓ,6,Apartado TyD,Daños Energía,10,0,2019-06-10,13
316,APARTADÓ,6,Apartado TyD,Daños Energía,11,1,2019-06-11,7
317,APARTADÓ,6,Apartado TyD,Daños Energía,12,2,2019-06-12,4
318,APARTADÓ,6,Apartado TyD,Daños Energía,13,3,2019-06-13,10
319,APARTADÓ,6,Apartado TyD,Daños Energía,14,4,2019-06-14,9
320,APARTADÓ,6,Apartado TyD,Daños Energía,15,5,2019-06-15,9
321,APARTADÓ,6,Apartado TyD,Daños Energía,16,6,2019-06-16,6
323,APARTADÓ,6,Apartado TyD,Daños Energía,18,1,2019-06-18,23
324,APARTADÓ,6,Apartado TyD,Daños Energía,19,2,2019-06-19,9
325,APARTADÓ,6,Apartado TyD,Daños Energía,20,3,2019-06-20,9
326,APARTADÓ,6,Apartado TyD,Daños Energía,21,4,2019-06-21,11
328,APARTADÓ,6,Apartado TyD,Daños Energía,23,6,2019-06-23,2
329,APARTADÓ,6,Apartado TyD,Daños Energía,24,0,2019-06-24,6
330,APARTADÓ,6,Apartado TyD,Daños Energía,25,1,2019-06-25,17
331,APARTADÓ,6,Apartado TyD,Daños Energía,26,2,2019-06-26,22
332,APARTADÓ,6,Apartado TyD,Daños Energía,27,3,2019-06-27,22
333,APARTADÓ,6,Apartado TyD,Daños Energía,28,4,2019-06-28,14
334,APARTADÓ,6,Apartado TyD,Daños Energía,29,5,2019-06-29,10
335,APARTADÓ,6,Apartado TyD,Daños Energía,30,6,2019-06-30,5
336,APARTADÓ,6,Apartado TyD,Mantenimiento Energía,1,5,2019-06-01,2
337,APARTADÓ,6,Apartado TyD,Mantenimiento Energía,2,6,2019-06-02,3
338,APARTADÓ,6,Apartado TyD,Mantenimiento Energía,3,0,2019-06-03,3
339,APARTADÓ,6,Apartado TyD,Mantenimiento Energía,4,1,2019-06-04,19
340,APARTADÓ,6,Apartado TyD,Mantenimiento Energía,5,2,2019-06-05,1
341,APARTADÓ,6,Apartado TyD,Mantenimiento Energía,6,3,2019-06-06,11
342,APARTADÓ,6,Apartado TyD,Mantenimiento Energía,7,4,2019-06-07,3
343,APARTADÓ,6,Apartado TyD,Mantenimiento Energía,10,0,2019-06-10,2
344,APARTADÓ,6,Apartado TyD,Mantenimiento Energía,12,2,2019-06-12,3
345,APARTADÓ,6,Apartado TyD,Mantenimiento Energía,13,3,2019-06-13,2
346,APARTADÓ,6,Apartado TyD,Mantenimiento Energía,14,4,2019-06-14,10
349,APARTADÓ,6,Apartado TyD,Mantenimiento Energía,21,4,2019-06-21,12
